DHSID,minor_roads_count,minor_roads_length,nocars_roads_count,nocars_roads_length,small_roads_count,small_roads_length,major_roads_count,major_roads_length,links_roads_count,links_roads_length,unknown_roads_count,unknown_roads_length,minor_roads_nearest-osmid,minor_roads_nearestdist,nocars_roads_nearest-osmid,nocars_roads_nearestdist,small_roads_nearest-osmid,small_roads_nearestdist,major_roads_nearest-osmid,major_roads_nearestdist,links_roads_nearest-osmid,links_roads_nearestdist,unknown_roads_nearest-osmid,unknown_roads_nearestdist,all_roads_length,all_roads_count,all_roads_nearestdist
TG201300000069,1170.0,542925.6413395377,533.0,161252.98287252215,42.0,60012.4540272922,3.0,2331.990555448895,0.0,0.0,0.0,0.0,396313878,0.029077938559211057,408788753,0.1237875303939533,396313866,0.03362968546192792,246673657,0.023262705200372883,331761934,0.13101574946833958,410309485,0.38526374066308816,766523.068794801,1748.0,0.023262705200372883
TG201300000070,150.0,58915.940619386405,463.0,177800.9557589204,474.0,68736.45227352176,5.0,989.9128417674374,0.0,0.0,0.0,0.0,246412420,1.3203792378977184,460034143,1.33114823964571,1008778873,1.3249194201529222,447746188,1.2760971075665217,644490866,1.652892628371632,873262814,2.0210276811401213,306443.261493596,1092.0,1.2760971075665217
TG201300000071,289.0,212093.91519011685,22.0,69485.7811791798,128.0,182894.10108610717,46.0,98646.94330206947,5.0,29170.486561867376,0.0,0.0,405776786,0.0029213642777160755,665797597,0.01567621175184283,998425600,0.0130381809531033,685784317,0.034530565161592454,680277521,0.05407223194704473,873262814,0.2778059490807202,592291.2273193407,490.0,0.0029213642777160755
TG201300000072,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4190.903224366489,0.0,0.0,0.0,0.0,358627691,0.3319786479560052,358627704,0.3265566077696312,358627706,0.33191922937981283,75570976,0.32412840568538853,976237867,0.40228456060324774,930159553,1.022974659888725,4190.903224366489,8.0,0.32412840568538853
TG201300000073,1082.0,703727.8051399481,110.0,91059.89177716475,268.0,386859.9395383273,206.0,364676.49509647104,8.0,40293.8448351133,0.0,0.0,171809786,0.13737818877125066,436912370,0.2806635118264949,436909294,0.26294242526946515,271582832,0.40664730813958416,685773665,0.8927813540521891,410309485,1.410658983236005,1586617.9763870244,1674.0,0.13737818877125066
TG201300000074,47.0,9554.813324031365,43.0,8933.684533844169,18.0,18104.575648605627,1.0,91.63936785935213,0.0,0.0,0.0,0.0,364264732,0.0007960336057416859,364264734,0.046373457901600745,408981173,0.005208684274069377,260801566,0.029704834084218756,685774506,0.08257604841202118,930159553,0.5153894168736138,36684.71287434051,109.0,0.0007960336057416859
TG201300000075,310.0,186939.8097568515,203.0,123895.91988265477,46.0,11859.622175665243,8.0,3317.922207584439,0.0,0.0,0.0,0.0,307930881,0.0028926453998777265,911451052,0.07868176752605466,908472384,0.06357071219670361,233408521,0.06890234479315636,665572253,0.4384514083820929,873262814,0.28855956803375177,326013.2740227559,567.0,0.0028926453998777265
TG201300000076,159.0,87306.61811988402,15.0,3123.7488769620704,38.0,9354.442029662412,29.0,35369.078721511054,2.0,1040.0057847591174,0.0,0.0,171809786,0.3767483433318488,436912360,0.491878912351389,511443805,0.39404885463379585,286831206,0.5702667893513311,685773665,0.9051404208360895,410309485,1.6057502869575582,136193.8935327787,243.0,0.3767483433318488
TG201300000077,1166.0,383837.2149745425,57.0,22394.999148752082,186.0,216146.98739940536,238.0,643529.8976772309,12.0,71630.81578817777,0.0,0.0,557825097,6.872413353072644e-05,646878093,0.00025727220913284766,537300733,0.0005800689989574129,183765611,0.0014099751871375049,681321099,0.019265407282108682,410309485,0.04943477144898347,1337539.9149881084,1659.0,6.872413353072644e-05
TG201300000078,1343.0,577938.0682309751,295.0,107788.83871453174,71.0,287188.8905581484,53.0,70122.4219140423,10.0,59842.88183660869,0.0,0.0,407557317,0.016952534400470835,896159598,0.03170977975768939,896159589,0.009653427316910657,78705883,0.021873382261570422,680278737,0.09837006316189789,873262814,0.15760454945155,1102881.1012543063,1772.0,0.009653427316910657
TG201300000079,12.0,2501.4258863682253,2.0,524.2376332641576,3.0,996.7887536809518,2.0,1142.5901367823658,0.0,0.0,0.0,0.0,246412420,1.0864578102872613,460034143,1.0859810636718392,853233196,1.086875947094802,447746188,1.0951579937711156,644490866,1.4964537214342235,873262814,1.8313616104511439,5165.042410095701,19.0,1.0859810636718392
TG201300000080,45.0,6912.907865930039,0.0,0.0,4.0,1690.2629410080567,2.0,388.2551733326226,0.0,0.0,0.0,0.0,393021834,0.032729759882070046,393391262,0.05822354041477704,954886211,0.04357129340197503,256964149,0.16921018189788814,680278737,0.45266312302566947,873262814,0.19761836682048659,8991.425980270718,51.0,0.032729759882070046
