DHSID,water_transport_count,air_transport_count,ground_transport_count,all_transport_count
KE201400000530,0.0,0.0,0.0,0.0
KE201400000531,0.0,0.0,0.0,0.0
KE201400000532,0.0,0.0,1.0,1.0
KE201400000533,0.0,0.0,1.0,1.0
KE201400000534,0.0,0.0,1.0,1.0
KE201400000535,0.0,0.0,0.0,0.0
KE201400000536,0.0,0.0,0.0,0.0
KE201400000537,0.0,0.0,0.0,0.0
KE201400000538,0.0,0.0,0.0,0.0
KE201400000539,0.0,0.0,0.0,0.0
KE201400000540,0.0,0.0,1.0,1.0
KE201400000541,0.0,0.0,1.0,1.0
KE201400000542,0.0,0.0,0.0,0.0
KE201400000543,0.0,0.0,0.0,0.0
KE201400000544,0.0,0.0,0.0,0.0
KE201400000545,0.0,0.0,0.0,0.0
KE201400000546,0.0,0.0,0.0,0.0
KE201400000547,0.0,0.0,0.0,0.0
KE201400000548,0.0,0.0,0.0,0.0
KE201400000549,0.0,0.0,0.0,0.0
KE201400000550,0.0,0.0,0.0,0.0
KE201400000551,0.0,0.0,0.0,0.0
KE201400000552,0.0,0.0,0.0,0.0
KE201400000553,0.0,0.0,0.0,0.0
KE201400000554,0.0,0.0,0.0,0.0
KE201400000555,0.0,0.0,0.0,0.0
KE201400000556,0.0,0.0,0.0,0.0
KE201400000557,0.0,0.0,0.0,0.0
KE201400000558,0.0,0.0,0.0,0.0
KE201400000559,0.0,0.0,0.0,0.0
KE201400000560,0.0,1.0,0.0,1.0
KE201400000561,0.0,0.0,0.0,0.0
KE201400000562,0.0,0.0,0.0,0.0
KE201400000563,0.0,0.0,0.0,0.0
KE201400000564,0.0,0.0,3.0,3.0
KE201400000565,0.0,0.0,3.0,3.0
KE201400000566,0.0,0.0,3.0,3.0
KE201400000567,0.0,0.0,3.0,3.0
KE201400000568,0.0,0.0,0.0,0.0
KE201400000569,0.0,0.0,0.0,0.0
KE201400000570,0.0,2.0,0.0,2.0
KE201400000571,0.0,0.0,0.0,0.0
KE201400000572,0.0,0.0,0.0,0.0
KE201400000573,0.0,0.0,1.0,1.0
KE201400000574,0.0,0.0,0.0,0.0
KE201400000575,0.0,0.0,0.0,0.0
KE201400000576,0.0,0.0,0.0,0.0
KE201400000577,0.0,0.0,0.0,0.0
KE201400000578,0.0,0.0,0.0,0.0
KE201400000579,0.0,0.0,0.0,0.0
KE201400000580,0.0,0.0,0.0,0.0
KE201400000581,0.0,0.0,0.0,0.0
KE201400000582,0.0,0.0,1.0,1.0
KE201400000583,0.0,0.0,0.0,0.0
KE201400000584,0.0,2.0,0.0,2.0
KE201400000585,0.0,0.0,0.0,0.0
KE201400000586,0.0,0.0,0.0,0.0
KE201400000587,0.0,0.0,0.0,0.0
KE201400000588,0.0,0.0,0.0,0.0
KE201400000589,0.0,0.0,0.0,0.0
KE201400000590,0.0,0.0,0.0,0.0
KE201400000591,0.0,0.0,0.0,0.0
KE201400000592,0.0,0.0,0.0,0.0
KE201400000593,0.0,0.0,0.0,0.0
KE201400000594,0.0,0.0,0.0,0.0
KE201400000595,0.0,0.0,0.0,0.0
KE201400000596,0.0,0.0,0.0,0.0
KE201400000597,0.0,0.0,0.0,0.0
KE201400000598,0.0,0.0,0.0,0.0
KE201400000599,0.0,0.0,0.0,0.0
KE201400000600,0.0,0.0,0.0,0.0
KE201400000601,0.0,0.0,0.0,0.0
KE201400000602,0.0,1.0,0.0,1.0
KE201400000603,0.0,0.0,0.0,0.0
KE201400000604,0.0,0.0,0.0,0.0
