DHSID,lodging_pois_count,other_pois_count,food_pois_count,services_pois_count,entertainment_pois_count,landmark_pois_count,education_pois_count,health_pois_count,retail_pois_count,all_pois_count
BD201800000471,0.0,0.0,1.0,6.0,1.0,0.0,2.0,1.0,4.0,15.0
BD201800000472,5.0,0.0,10.0,13.0,2.0,2.0,10.0,6.0,9.0,57.0
BD201800000473,0.0,0.0,5.0,8.0,0.0,0.0,3.0,1.0,4.0,21.0
BD201800000474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000475,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0
BD201800000476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000479,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,6.0
BD201800000480,0.0,0.0,2.0,4.0,3.0,0.0,3.0,0.0,4.0,16.0
BD201800000481,57.0,0.0,69.0,84.0,42.0,9.0,29.0,14.0,43.0,347.0
BD201800000482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000483,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0,7.0
BD201800000484,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0
BD201800000485,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
BD201800000486,0.0,0.0,4.0,5.0,0.0,0.0,2.0,0.0,3.0,14.0
BD201800000488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000489,5.0,0.0,7.0,9.0,11.0,1.0,8.0,5.0,1.0,47.0
BD201800000490,0.0,0.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,7.0
BD201800000491,4.0,0.0,8.0,5.0,0.0,1.0,1.0,1.0,8.0,28.0
BD201800000492,2.0,0.0,9.0,5.0,0.0,1.0,0.0,1.0,7.0,25.0
BD201800000493,20.0,0.0,21.0,31.0,36.0,4.0,12.0,12.0,28.0,164.0
BD201800000494,4.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,3.0,15.0
BD201800000495,3.0,0.0,4.0,5.0,6.0,2.0,11.0,3.0,5.0,39.0
